Ball_Type,Ball_Name,Ball_Size,Size_Label,Condition,Mass_kg,Velocity_m_s,Energy_J,Peak_Pressure_kPa,PPSI90_Duration_ms
C1,Machine Stitched,5,Size 5 (Elite),Damp,0.4401,10,22.01,1.8,0.079
C1,Machine Stitched,5,Size 5 (Elite),Damp,0.4401,14,43.13,3.528,0.1548
C1,Machine Stitched,5,Size 5 (Elite),Damp,0.4401,18,71.3,5.832,0.256
C1,Machine Stitched,5,Size 5 (Elite),Damp,0.4401,23,116.41,9.522,0.4179
C1,Machine Stitched,5,Size 5 (Elite),Damp,0.4401,28,172.53,14.113,0.6194
C1,Machine Stitched,5,Size 5 (Elite),Damp,0.4401,35,269.57,22.051,0.9678
C1,Machine Stitched,5,Size 5 (Elite),Wet,0.4529,10,22.65,1.853,0.0813
C1,Machine Stitched,5,Size 5 (Elite),Wet,0.4529,14,44.39,3.631,0.1594
C1,Machine Stitched,5,Size 5 (Elite),Wet,0.4529,18,73.38,6.002,0.2634
C1,Machine Stitched,5,Size 5 (Elite),Wet,0.4529,23,119.8,9.8,0.4301
C1,Machine Stitched,5,Size 5 (Elite),Wet,0.4529,28,177.55,14.524,0.6374
C1,Machine Stitched,5,Size 5 (Elite),Wet,0.4529,35,277.42,22.693,0.996
D1,Hand Stitched,3,Size 3 (U10),Dry,0.331,10,16.55,1.195,0.0536
D1,Hand Stitched,3,Size 3 (U10),Dry,0.331,14,32.43,2.342,0.1051
D1,Hand Stitched,3,Size 3 (U10),Dry,0.331,18,53.61,3.871,0.1737
D1,Hand Stitched,3,Size 3 (U10),Dry,0.331,23,87.54,6.32,0.2836
D1,Hand Stitched,3,Size 3 (U10),Dry,0.331,28,129.73,9.367,0.4203
D1,Hand Stitched,3,Size 3 (U10),Dry,0.331,35,202.71,14.636,0.6568
D1,Hand Stitched,3,Size 3 (U10),Damp,0.3409,10,17.04,1.231,0.0552
D1,Hand Stitched,3,Size 3 (U10),Damp,0.3409,14,33.41,2.412,0.1082
D1,Hand Stitched,3,Size 3 (U10),Damp,0.3409,18,55.22,3.987,0.1789
D1,Hand Stitched,3,Size 3 (U10),Damp,0.3409,23,90.16,6.51,0.2921
D1,Hand Stitched,3,Size 3 (U10),Damp,0.3409,28,133.63,9.648,0.4329
D1,Hand Stitched,3,Size 3 (U10),Damp,0.3409,35,208.79,15.075,0.6765
D1,Hand Stitched,3,Size 3 (U10),Wet,0.3508,10,17.54,1.266,0.0568
D1,Hand Stitched,3,Size 3 (U10),Wet,0.3508,14,34.38,2.482,0.1114
D1,Hand Stitched,3,Size 3 (U10),Wet,0.3508,18,56.83,4.103,0.1841
D1,Hand Stitched,3,Size 3 (U10),Wet,0.3508,23,92.79,6.699,0.3006
D1,Hand Stitched,3,Size 3 (U10),Wet,0.3508,28,137.52,9.929,0.4456
D1,Hand Stitched,3,Size 3 (U10),Wet,0.3508,35,214.87,15.514,0.6962
D1,Hand Stitched,4,Size 4 (U14),Dry,0.3819,10,19.09,1.379,0.0619
D1,Hand Stitched,4,Size 4 (U14),Dry,0.3819,14,37.42,2.702,0.1213
D1,Hand Stitched,4,Size 4 (U14),Dry,0.3819,18,61.86,4.467,0.2004
D1,Hand Stitched,4,Size 4 (U14),Dry,0.3819,23,101.0,7.293,0.3273
D1,Hand Stitched,4,Size 4 (U14),Dry,0.3819,28,149.69,10.808,0.485
D1,Hand Stitched,4,Size 4 (U14),Dry,0.3819,35,233.9,16.887,0.7578
D1,Hand Stitched,4,Size 4 (U14),Damp,0.3933,10,19.67,1.42,0.0637
D1,Hand Stitched,4,Size 4 (U14),Damp,0.3933,14,38.55,2.783,0.1249
D1,Hand Stitched,4,Size 4 (U14),Damp,0.3933,18,63.72,4.6,0.2064
D1,Hand Stitched,4,Size 4 (U14),Damp,0.3933,23,104.03,7.511,0.3371
D1,Hand Stitched,4,Size 4 (U14),Damp,0.3933,28,154.18,11.132,0.4996
D1,Hand Stitched,4,Size 4 (U14),Damp,0.3933,35,240.91,17.394,0.7806
D1,Hand Stitched,4,Size 4 (U14),Wet,0.4048,10,20.24,1.461,0.0656
D1,Hand Stitched,4,Size 4 (U14),Wet,0.4048,14,39.67,2.864,0.1285
D1,Hand Stitched,4,Size 4 (U14),Wet,0.4048,18,65.57,4.734,0.2125
D1,Hand Stitched,4,Size 4 (U14),Wet,0.4048,23,107.06,7.73,0.3469
D1,Hand Stitched,4,Size 4 (U14),Wet,0.4048,28,158.67,11.456,0.5141
D1,Hand Stitched,4,Size 4 (U14),Wet,0.4048,35,247.93,17.9,0.8033
D1,Hand Stitched,5,Size 5 (Elite),Dry,0.4243,10,21.22,1.532,0.0687
D1,Hand Stitched,5,Size 5 (Elite),Dry,0.4243,14,41.58,3.002,0.1347
D1,Hand Stitched,5,Size 5 (Elite),Dry,0.4243,18,68.74,4.963,0.2227
D1,Hand Stitched,5,Size 5 (Elite),Dry,0.4243,23,112.23,8.103,0.3636
D1,Hand Stitched,5,Size 5 (Elite),Dry,0.4243,28,166.33,12.009,0.5389
D1,Hand Stitched,5,Size 5 (Elite),Dry,0.4243,35,259.88,18.764,0.842
D1,Hand Stitched,5,Size 5 (Elite),Damp,0.437,10,21.85,1.578,0.0708
D1,Hand Stitched,5,Size 5 (Elite),Damp,0.437,14,42.83,3.092,0.1388
D1,Hand Stitched,5,Size 5 (Elite),Damp,0.437,18,70.8,5.112,0.2294
D1,Hand Stitched,5,Size 5 (Elite),Damp,0.437,23,115.59,8.346,0.3745
D1,Hand Stitched,5,Size 5 (Elite),Damp,0.437,28,171.32,12.369,0.5551
D1,Hand Stitched,5,Size 5 (Elite),Damp,0.437,35,267.68,19.327,0.8673
D1,Hand Stitched,5,Size 5 (Elite),Wet,0.4498,10,22.49,1.624,0.0729
D1,Hand Stitched,5,Size 5 (Elite),Wet,0.4498,14,44.08,3.182,0.1428
D1,Hand Stitched,5,Size 5 (Elite),Wet,0.4498,18,72.86,5.261,0.2361
D1,Hand Stitched,5,Size 5 (Elite),Wet,0.4498,23,118.96,8.589,0.3854
D1,Hand Stitched,5,Size 5 (Elite),Wet,0.4498,28,176.31,12.729,0.5712
D1,Hand Stitched,5,Size 5 (Elite),Wet,0.4498,35,275.48,19.889,0.8925
E1,Synthetic Moulded,3,Size 3 (U10),Dry,0.3409,10,17.04,1.321,0.0574
E1,Synthetic Moulded,3,Size 3 (U10),Dry,0.3409,14,33.4,2.589,0.1126
E1,Synthetic Moulded,3,Size 3 (U10),Dry,0.3409,18,55.22,4.279,0.1861
E1,Synthetic Moulded,3,Size 3 (U10),Dry,0.3409,23,90.16,6.987,0.3038
E1,Synthetic Moulded,3,Size 3 (U10),Dry,0.3409,28,133.62,10.355,0.4503
E1,Synthetic Moulded,3,Size 3 (U10),Dry,0.3409,35,208.78,16.18,0.7036
E1,Synthetic Moulded,3,Size 3 (U10),Damp,0.3511,10,17.55,1.36,0.0592
E1,Synthetic Moulded,3,Size 3 (U10),Damp,0.3511,14,34.41,2.666,0.1159
E1,Synthetic Moulded,3,Size 3 (U10),Damp,0.3511,18,56.88,4.408,0.1917
E1,Synthetic Moulded,3,Size 3 (U10),Damp,0.3511,23,92.86,7.197,0.3129
E1,Synthetic Moulded,3,Size 3 (U10),Damp,0.3511,28,137.63,10.666,0.4638
E1,Synthetic Moulded,3,Size 3 (U10),Damp,0.3511,35,215.04,16.666,0.7247
E1,Synthetic Moulded,3,Size 3 (U10),Wet,0.3613,10,18.07,1.4,0.0609
E1,Synthetic Moulded,3,Size 3 (U10),Wet,0.3613,14,35.41,2.744,0.1193
E1,Synthetic Moulded,3,Size 3 (U10),Wet,0.3613,18,58.53,4.536,0.1973
E1,Synthetic Moulded,3,Size 3 (U10),Wet,0.3613,23,95.57,7.406,0.3221
E1,Synthetic Moulded,3,Size 3 (U10),Wet,0.3613,28,141.63,10.977,0.4773
E1,Synthetic Moulded,3,Size 3 (U10),Wet,0.3613,35,221.3,17.151,0.7458
E1,Synthetic Moulded,4,Size 4 (U14),Dry,0.3933,10,19.66,1.524,0.0663
E1,Synthetic Moulded,4,Size 4 (U14),Dry,0.3933,14,38.54,2.987,0.1299
E1,Synthetic Moulded,4,Size 4 (U14),Dry,0.3933,18,63.71,4.938,0.2147
E1,Synthetic Moulded,4,Size 4 (U14),Dry,0.3933,23,104.03,8.062,0.3506
E1,Synthetic Moulded,4,Size 4 (U14),Dry,0.3933,28,154.17,11.948,0.5196
E1,Synthetic Moulded,4,Size 4 (U14),Dry,0.3933,35,240.9,18.669,0.8118
E1,Synthetic Moulded,4,Size 4 (U14),Damp,0.4051,10,20.25,1.57,0.0683
E1,Synthetic Moulded,4,Size 4 (U14),Damp,0.4051,14,39.7,3.077,0.1338
E1,Synthetic Moulded,4,Size 4 (U14),Damp,0.4051,18,65.63,5.086,0.2212
E1,Synthetic Moulded,4,Size 4 (U14),Damp,0.4051,23,107.15,8.304,0.3611
E1,Synthetic Moulded,4,Size 4 (U14),Damp,0.4051,28,158.8,12.307,0.5352
E1,Synthetic Moulded,4,Size 4 (U14),Damp,0.4051,35,248.12,19.23,0.8362
E1,Synthetic Moulded,4,Size 4 (U14),Wet,0.4169,10,20.84,1.615,0.0702
E1,Synthetic Moulded,4,Size 4 (U14),Wet,0.4169,14,40.86,3.166,0.1377
E1,Synthetic Moulded,4,Size 4 (U14),Wet,0.4169,18,67.54,5.234,0.2276
E1,Synthetic Moulded,4,Size 4 (U14),Wet,0.4169,23,110.27,8.546,0.3716
E1,Synthetic Moulded,4,Size 4 (U14),Wet,0.4169,28,163.42,12.665,0.5507
E1,Synthetic Moulded,4,Size 4 (U14),Wet,0.4169,35,255.35,19.79,0.8605
E1,Synthetic Moulded,5,Size 5 (Elite),Dry,0.437,10,21.85,1.693,0.0736
E1,Synthetic Moulded,5,Size 5 (Elite),Dry,0.437,14,42.83,3.319,0.1443
E1,Synthetic Moulded,5,Size 5 (Elite),Dry,0.437,18,70.79,5.487,0.2386
E1,Synthetic Moulded,5,Size 5 (Elite),Dry,0.437,23,115.59,8.958,0.3895
E1,Synthetic Moulded,5,Size 5 (Elite),Dry,0.437,28,171.3,13.276,0.5773
E1,Synthetic Moulded,5,Size 5 (Elite),Dry,0.437,35,267.66,20.744,0.902
